attendance_id,student_id,student_name,section_id,course_id,date,status,notes,recorded_date
ATT000001,STU000022,Dorothy Moore,SEC000271,ART367,2025-12-03,Excused,Family emergency,2024-08-24 00:00:00
ATT000002,STU000994,Lisa King,SEC000224,ECON577,2025-10-27,Late,,2025-05-19 00:00:00
ATT000003,STU000149,Joshua Johnson,SEC000396,CHEM493,2024-10-05,Excused,,2024-07-09 00:00:00
ATT000004,STU000242,Dorothy Anderson,SEC000347,MUS278,2025-04-25,Late,,2025-12-11 00:00:00
ATT000005,STU000089,Christopher Thompson,SEC000222,PSYC215,2025-11-04,Absent,,2025-08-25 00:00:00
ATT000006,STU000408,Jacob Lopez,SEC000142,CS196,2024-03-04,Late,Family emergency,2024-12-07 00:00:00
ATT000007,STU000274,Patricia White,SEC000233,BIO111,2024-06-14,Present,,2025-05-19 00:00:00
ATT000008,STU000793,Betty Davis,SEC000063,ECON255,2024-01-09,Present,,2024-05-10 00:00:00
ATT000009,STU000623,Dorothy Clark,SEC000240,NURS238,2025-01-19,Present,,2024-11-26 00:00:00
ATT000010,STU000107,Karen Brown,SEC000093,EDUC375,2024-02-14,Present,,2025-02-21 00:00:00
ATT000011,STU000265,Richard Lee,SEC000056,EDUC434,2024-01-27,Late,Sick,2024-05-04 00:00:00
ATT000012,STU000065,Kimberly Lee,SEC000099,CS267,2025-09-05,Present,Sick,2025-10-28 00:00:00
ATT000013,STU000209,William Brown,SEC000010,ENG314,2025-04-17,Absent,,2025-08-18 00:00:00
ATT000014,STU000660,Donald Hernandez,SEC000114,PSYC463,2025-07-06,Present,Family emergency,2025-07-04 00:00:00
ATT000015,STU000769,Kevin Perez,SEC000228,ART482,2025-11-02,Absent,,2025-01-18 00:00:00
ATT000016,STU000639,Joseph Thomas,SEC000237,PHYS462,2024-09-19,Present,,2024-02-08 00:00:00
ATT000017,STU000994,Lisa King,SEC000364,CHEM524,2025-10-01,Present,,2024-01-28 00:00:00
ATT000018,STU000560,Joseph Miller,SEC000210,MUS295,2025-04-09,Absent,,2025-05-20 00:00:00
ATT000019,STU000518,Brian Ramirez,SEC000082,HIST104,2025-12-06,Present,Family emergency,2025-01-31 00:00:00
ATT000020,STU000757,Mark Wright,SEC000357,ENG148,2025-08-26,Late,Sick,2025-08-22 00:00:00
ATT000021,STU000867,Jessica Williams,SEC000286,HIST251,2024-08-12,Excused,Sick,2025-06-07 00:00:00
ATT000022,STU000728,Joshua Lopez,SEC000382,PSYC352,2024-06-20,Late,Sick,2025-06-27 00:00:00
ATT000023,STU000418,David Garcia,SEC000042,BUS444,2025-05-30,Absent,,2025-01-26 00:00:00
