student_id,first_name,last_name,email,phone,date_of_birth,enrollment_date,major,year_level,gpa,status,address,city,state,zip_code,emergency_contact,emergency_phone
STU000001,Kevin,Davis,kevin.davis@university.edu,+12259595506,1997-09-30,2022-07-03,Biology,Freshman,3.35,Inactive,1524 Maple Dr,Springfield,CA,22280,Susan Anderson,+17178161434
STU000002,Ruth,Gonzalez,ruth.gonzalez@university.edu,+19338659928,1999-09-15,2022-06-21,Philosophy,Graduate,2.56,Active,2715 Elm Blvd,Franklin,NY,38221,Ronald Perez,+13042947224
STU000003,Michael,Thompson,michael.thompson@university.edu,+15528185333,2004-01-19,2020-06-26,Philosophy,Graduate,2.25,Active,1391 Maple Blvd,Bristol,OH,57400,Joshua Gonzalez,+19212711750
STU000004,Brian,Anderson,brian.anderson@university.edu,+19914962307,2004-08-04,2022-08-11,Psychology,Senior,2.56,Graduated,6077 Oak Blvd,Franklin,NY,97841,Sarah Jones,+18238503803
STU000005,Andrew,Thomas,andrew.thomas@university.edu,+13676737216,1998-01-10,2022-06-18,Economics,Freshman,2.46,Active,5268 Elm Blvd,Springfield,NY,84341,Ryan Lee,+14178719179
STU000006,Betty,Robinson,betty.robinson@university.edu,+13464713287,1997-10-07,2022-12-12,Communications,Senior,3.8,Active,6030 Oak Ave,Bristol,FL,21915,Ronald Brown,+13123563621
STU000007,Jason,Ramirez,jason.ramirez@university.edu,+18102657304,1999-04-13,2025-04-01,Nursing,Junior,3.94,Active,1976 Maple Blvd,Franklin,CA,48469,Helen Hernandez,+16642035315
STU000008,Paul,Lopez,paul.lopez@university.edu,+17193085889,2004-06-09,2025-09-10,Marketing,Sophomore,2.31,Active,8937 Maple St,Bristol,TX,74042,Mary Davis,+15715144923
STU000009,Patricia,Thomas,patricia.thomas@university.edu,+17802802403,2003-03-17,2025-06-13,Engineering,Graduate,3.53,Active,7887 Maple Ave,Franklin,IL,89507,Helen Wilson,+17529734295
STU000010,Kimberly,Martin,kimberly.martin@university.edu,+16088877118,1999-11-30,2025-10-20,Philosophy,Freshman,2.5,Active,5639 Main Ave,Bristol,NY,10942,Robert Brown,+14342691514
STU000011,Karen,Perez,karen.perez@university.edu,+12727264899,1998-02-14,2025-06-11,English Literature,Graduate,2.26,Inactive,9540 Elm Ave,Georgetown,OH,63354,Richard Miller,+12998748062
STU000012,Matthew,Ramirez,matthew.ramirez@university.edu,+16206781887,2002-07-21,2021-02-07,Business Administration,Senior,3.46,Active,4173 Oak Ave,Bristol,FL,28373,Helen Lopez,+14856735092
STU000013,Karen,Jones,karen.jones@university.edu,+16537632604,1995-07-27,2020-03-01,Engineering,Sophomore,2.33,Active,7986 Oak Dr,Springfield,NY,59672,James Harris,+14716655673
STU000014,Helen,Scott,helen.scott@university.edu,+18779358973,1996-09-26,2022-02-16,Physics,Sophomore,3.94,Inactive,8983 Main Blvd,Springfield,CA,86569,Steven Allen,+17433611931
STU000015,Paul,Garcia,paul.garcia@university.edu,+13902702113,2002-07-28,2022-08-21,Art,Freshman,3.88,Inactive,4133 Maple St,Bristol,CA,64948,Brian Nguyen,+17787356183
STU000016,Helen,Taylor,helen.taylor@university.edu,+14098856147,1997-09-04,2022-12-23,Art,Sophomore,3.34,Active,7591 Pine St,Springfield,FL,91416,Joshua Miller,+12757504492
STU000017,Paul,Taylor,paul.taylor@university.edu,+13355572127,2004-11-10,2022-09-27,Political Science,Junior,2.32,Inactive,5056 Maple St,Bristol,TX,96951,Michael Rodriguez,+14703182753
STU000018,Deborah,Scott,deborah.scott@university.edu,+13594785616,2001-10-13,2022-05-12,Economics,Sophomore,3.37,Active,8380 Elm Blvd,Springfield,CA,93136,Helen Moore,+12452036464
STU000019,Dorothy,Rodriguez,dorothy.rodriguez@university.edu,+18524683647,2003-04-25,2024-12-14,Education,Senior,3.12,Active,1332 Oak St,Franklin,IL,82420,Elizabeth Ramirez,+13302426050
STU000020,Lisa,Williams,lisa.williams@university.edu,+15664155088,2002-06-24,2021-02-25,Political Science,Graduate,3.77,Active,2632 Oak Ave,Madison,FL,13248,Barbara Perez,+16218855065
STU000021,Sarah,Hernandez,sarah.hernandez@university.edu,+19183107267,2004-10-12,2020-06-07,Sociology,Sophomore,2.4,Active,5828 Pine Ave,Madison,CA,96511,Richard Sanchez,+15364852137
STU000022,Dorothy,Moore,dorothy.moore@university.edu,+15598569346,1999-06-26,2023-09-18,Computer Science,Freshman,3.75,Active,3025 Maple Blvd,Springfield,CA,88193,Helen Thompson,+19465218149
STU000023,Kenneth,Allen,kenneth.allen@university.edu,+13185944114,1997-11-09,2020-06-30,Music,Freshman,3.04,Inactive,3328 Pine Dr,Springfield,PA,53279,Michelle Lee,+18793275920
STU000024,Paul,Martin,paul.martin@university.edu,+18826186344,1999-07-07,2023-04-26,Education,Sophomore,2.38,Graduated,6311 Oak Blvd,Georgetown,IL,10053,Karen Jackson,+14156406279
STU000025,Sandra,Lewis,sandra.lewis@university.edu,+16528914501,2000-09-24,2025-04-22,Mathematics,Freshman,2.57,Graduated,5591 Main Ave,Franklin,NY,36100,Elizabeth Johnson,+12474508784
STU000026,Michelle,Jones,michelle.jones@university.edu,+16666244185,2003-01-21,2024-04-21,Sociology,Senior,2.49,Graduated,190 Main Dr,Madison,NY,77889,Sandra Brown,+17704552988
STU000027,Sandra,Rodriguez,sandra.rodriguez@university.edu,+16758839702,2001-04-08,2023-07-23,Philosophy,Graduate,3.63,Inactive,7091 Maple Dr,Madison,PA,72216,Donald Taylor,+19694535543
STU000028,Dorothy,King,dorothy.king@university.edu,+16968414919,1998-01-29,2024-12-06,Engineering,Junior,2.47,Active,5338 Maple St,Madison,NY,40311,Anthony Martinez,+19234192052
STU000029,Mark,Clark,mark.clark@university.edu,+15387558633,1999-08-31,2020-09-12,English Literature,Senior,2.78,Inactive,420 Maple Dr,Georgetown,CA,56105,Karen Harris,+16297519947
STU000030,Lisa,Hill,lisa.hill@university.edu,+14256994595,1998-01-22,2024-11-20,Sociology,Freshman,2.78,Graduated,6724 Oak Dr,Madison,IL,80008,Mary Sanchez,+18067771444
STU000031,Jennifer,Ramirez,jennifer.ramirez@university.edu,+13386723977,1995-07-25,2022-12-01,Art,Junior,2.42,Active,5629 Elm Blvd,Georgetown,TX,20735,Steven Johnson,+19677521853
STU000032,Matthew,Anderson,matthew.anderson@university.edu,+18652701659,2003-06-17,2020-05-07,History,Sophomore,3.68,Inactive,2596 Oak Ave,Georgetown,PA,24993,Joshua Wilson,+16769165198
STU000033,Dorothy,White,dorothy.white@university.edu,+13718202876,2003-09-21,2021-11-01,Physics,Freshman,3.16,Active,9533 Elm Dr,Madison,CA,87607,George Thomas,+13049135941
STU000034,Jeffrey,Hill,jeffrey.hill@university.edu,+13237791672,1998-11-23,2025-12-22,Music,Junior,2.14,Graduated,5690 Main Dr,Georgetown,CA,66822,Lisa Robinson,+19243568135
STU000035,Barbara,King,barbara.king@university.edu,+18664769817,2003-09-08,2025-06-03,Philosophy,Senior,3.65,Inactive,4497 Pine Ave,Springfield,TX,69087,Jessica Robinson,+17838247209
STU000036,Nancy,Johnson,nancy.johnson@university.edu,+17065323979,2000-06-20,2022-05-18,Political Science,Junior,2.68,Inactive,4626 Maple St,Bristol,NY,21221,Jessica Clark,+17007684937
STU000037,George,Walker,george.walker@university.edu,+18619289041,2000-01-10,2020-03-11,Engineering,Junior,2.44,Graduated,4086 Pine Blvd,Georgetown,IL,79588,Matthew Ramirez,+19637636419
STU000038,Matthew,Robinson,matthew.robinson@university.edu,+14775135118,1997-08-02,2021-05-09,English Literature,Junior,2.24,Inactive,3133 Oak Ave,Georgetown,TX,87278,Ronald King,+18114892647
STU000039,Nancy,Gonzalez,nancy.gonzalez@university.edu,+15034326912,1997-01-04,2023-05-23,Computer Science,Graduate,2.25,Active,993 Maple Blvd,Madison,PA,74340,Michael Smith,+17874918690
STU000040,Steven,Lewis,steven.lewis@university.edu,+15483881841,1997-10-31,2025-05-10,Psychology,Freshman,2.8,Active,9553 Main Ave,Madison,OH,83772,Karen Garcia,+14543217818
STU000041,Kenneth,Hill,kenneth.hill@university.edu,+18334319561,1999-04-08,2025-01-19,Philosophy,Junior,3.72,Active,5103 Maple St,Bristol,PA,23006,Ronald Wilson,+18404165335
STU000042,Brian,Garcia,brian.garcia@university.edu,+13604453847,2001-03-10,2020-11-03,Mathematics,Freshman,2.82,Graduated,9829 Elm Blvd,Springfield,NY,47762,Kimberly Jackson,+19196642166
STU000043,Sarah,Anderson,sarah.anderson@university.edu,+14708404241,1999-10-08,2021-04-15,Education,Sophomore,3.3,Active,2430 Main St,Madison,OH,50319,Kenneth Torres,+14956493037
STU000044,Sandra,Martin,sandra.martin@university.edu,+19166125460,2000-08-11,2025-07-15,Philosophy,Freshman,3.2,Active,5380 Maple Blvd,Springfield,CA,40005,Sarah Torres,+18012215415
STU000045,Joshua,Williams,joshua.williams@university.edu,+19819743870,2000-04-11,2025-10-26,Philosophy,Junior,2.36,Inactive,7241 Elm St,Georgetown,TX,63523,Nancy Lee,+18863073634
STU000046,Nancy,Clark,nancy.clark@university.edu,+19107075722,2002-06-06,2024-06-28,Education,Freshman,2.91,Active,4235 Pine St,Georgetown,OH,77449,Edward Smith,+18737558569
